銘柄コード,企業名,価格,利回り(%),年間配当,セクター,配当内訳
245A,ＩＮＧＳ,2554.0,0,0.0,一般消費財,
2461,ファンコミュニケーションズ,433.0,485,21.0,コミュニケーション・サービス,"ex:2025-06-27|pay:2025-09:8.0, ex:2025-12-29|pay:2026-03:19.0"
2462,ライク,1621.0,370,60.0,資本財,"ex:2025-05-29|pay:2025-08:31.0, ex:2025-11-27|pay:2026-02:30.0"
2464,Ａｏｂａ‐ＢＢＴ,335.0,657,22.0,生活必需品,ex:2026-03-30|pay:2026-06:11.0
2469,ヒビノ,2887.0,156,45.0,情報技術,"ex:2025-09-29|pay:2025-12:40.0, ex:2026-03-30|pay:2026-06:45.0"
246A,アスア,978.0,72,7.0,資本財,ex:2025-06-27|pay:2025-09:10.8
2471,エスプール,230.0,435,10.0,資本財,ex:2025-11-27|pay:2026-02:10.0
2475,ＷＤＢホールディングス,1704.0,663,113.0,資本財,"ex:2025-09-29|pay:2025-12:25.0, ex:2026-03-30|pay:2026-06:37.5"
2477,手間いらず,2394.0,167,40.0,コミュニケーション・サービス,"ex:2025-06-27|pay:2025-09:23.0, ex:2025-12-29|pay:2026-03:16.0"
2479,ジェイテック,238.0,840,20.0,情報技術,ex:2026-03-30|pay:2026-06:13.0
247A,Ａｉロボティクス,900.0,0,0.0,生活必需品,
2480,システム・ロケーション,1700.0,224,38.0,資本財,ex:2026-03-30|pay:2026-06:38.0
2481,タウンニュース社,684.0,292,20.0,コミュニケーション・サービス,ex:2025-06-27|pay:2025-09:20.0
2483,翻訳センター,2105.0,665,140.0,資本財,ex:2026-03-30|pay:2026-06:140.0
2484,出前館,121.0,0,0.0,一般消費財,
2485,ティア,448.0,446,20.0,一般消費財,"ex:2025-09-29|pay:2025-12:10.0, ex:2026-03-30|pay:2026-06:10.0"
2488,ＪＴＰ,1344.0,372,50.0,情報技術,"ex:2025-09-29|pay:2025-12:11.0, ex:2026-03-30|pay:2026-06:38.0"
2489,アドウェイズ,286.0,230,6.57,コミュニケーション・サービス,ex:2025-12-29|pay:2026-03:6.42
248A,キッズスター,957.0,0,0.0,情報技術,
2491,バリューコマース,469.0,341,16.0,コミュニケーション・サービス,"ex:2025-06-27|pay:2025-09:25.0, ex:2025-12-29|pay:2026-03:24.0"
2492,インフォマート,394.0,167,6.58,情報技術,"ex:2025-06-27|pay:2025-09:2.23, ex:2025-12-29|pay:2026-03:3.21"
2493,イーサポートリンク,995.0,50,5.0,情報技術,ex:2025-11-27|pay:2026-02:5.0
2497,ユナイテッド,500.0,440,22.0,情報技術,"ex:2025-09-29|pay:2025-12:11.5, ex:2026-03-30|pay:2026-06:11.5"
2498,オリエンタルコンサルタンツホールディングス,2977.0,420,125.0,資本財,ex:2025-09-29|pay:2025-12:120.0
2499,日本和装ホールディングス,283.0,707,20.0,資本財,"ex:2025-06-27|pay:2025-09:3.0, ex:2025-09-29|pay:2025-12:3.0, ex:2025-12-29|pay:2026-03:7.0, ex:2026-03-30|pay:2026-06:3.0"
249A,ヒューマンアジャスト,1700.0,0,0.0,資本財,
2501,サッポロホールディングス,1591.5,251,40.0,生活必需品,ex:2025-12-29|pay:2026-03:18.0
2502,アサヒグループホールディングス,1536.0,339,52.0,生活必需品,"ex:2025-06-27|pay:2025-09:26.0, ex:2025-12-29|pay:2026-03:26.0"
2503,キリンホールディングス,2623.0,290,76.0,生活必需品,"ex:2025-06-27|pay:2025-09:37.0, ex:2025-12-29|pay:2026-03:37.0"
250A,シマダヤ,1630.0,331,54.0,生活必需品,"ex:2025-09-29|pay:2025-12:26.0, ex:2026-03-30|pay:2026-06:26.0"
2510,ＮＥＸＴ　ＦＵＮＤＳ　国内債券・ＮＯＭＵＲＡ－ＢＰＩ総合連動型上場投信,807.4,92,7.4,,"ex:2025-09-07|pay:2025-12:3.7, ex:2026-03-07|pay:2026-06:3.7"
2511,ＮＥＸＴ　ＦＵＮＤＳ　外国債券・ＦＴＳＥ世界国債インデックス（除く日本・為替ヘッジなし）連動型上場投信,1174.5,289,33.9,,"ex:2025-09-07|pay:2025-12:15.8, ex:2026-03-07|pay:2026-06:18.1"
2512,ＮＥＸＴ　ＦＵＮＤＳ　外国債券・ＦＴＳＥ世界国債インデックス（除く日本・為替ヘッジあり）連動型上場投信,731.3,289,21.1,,"ex:2025-09-07|pay:2025-12:10.1, ex:2026-03-07|pay:2026-06:11.0"
2513,ＮＥＸＴ　ＦＵＮＤＳ　外国株式・ＭＳＣＩ－ＫＯＫＵＳＡＩ指数（為替ヘッジなし）連動型上場投信,3465.0,97,33.7,,"ex:2025-09-07|pay:2025-12:20.7, ex:2026-03-07|pay:2026-06:13.0"
2514,ＮＥＸＴ　ＦＵＮＤＳ　外国株式・ＭＳＣＩ－ＫＯＫＵＳＡＩ指数（為替ヘッジあり）連動型上場投信,1978.0,110,21.7,,"ex:2025-09-07|pay:2025-12:13.7, ex:2026-03-07|pay:2026-06:8.0"
2515,ＮＥＸＴ　ＦＵＮＤＳ　外国ＲＥＩＴ・Ｓ＆Ｐ先進国ＲＥＩＴ指数（除く日本・為替ヘッジなし）連動型上場投信,1639.0,293,48.1,,"ex:2025-06-07|pay:2025-09:12.2, ex:2025-09-07|pay:2025-12:12.9, ex:2025-12-07|pay:2026-03:11.0, ex:2026-03-07|pay:2026-06:12.0"
2516,東証グロース２５０ＥＴＦ,629.9,0,0.0,,
2517,ＭＡＸＩＳ　Ｊリート・コア上場投信,1110.0,468,51.9,,"ex:2025-08-10|pay:2025-11:13.3, ex:2025-11-10|pay:2026-02:10.6, ex:2026-02-10|pay:2026-05:16.5, ex:2026-05-10|pay:2026-08:11.5"
2518,ＮＥＸＴ　ＦＵＮＤＳ　ＭＳＣＩ日本株女性活躍指数（セレクト）連動型上場投信,2184.0,183,40.0,,"ex:2025-10-20|pay:2026-01:19.0, ex:2026-04-20|pay:2026-07:21.0"
2519,ＮＥＸＴ　ＦＵＮＤＳ　新興国債券・Ｊ．Ｐ．モルガン・エマージング・マーケット・ボンド・インデックス・プラス（為替ヘッジなし）連動型上場投信,1179.5,485,57.2,,"ex:2025-09-07|pay:2025-12:27.4, ex:2026-03-07|pay:2026-06:29.8"
251A,ニューロマジック,256.0,400,10.24,情報技術,ex:2026-02-26|pay:2026-05:10.24
2520,ＮＥＸＴ　ＦＵＮＤＳ　新興国株式・ＭＳＣＩエマージング・マーケット・インデックス（為替ヘッジなし）連動型上場投信,2293.0,150,34.4,,"ex:2025-09-07|pay:2025-12:24.4, ex:2026-03-07|pay:2026-06:10.0"
2521,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）為替ヘッジあり,2117.0,94,20.0,,ex:2026-01-20|pay:2026-04:20.0
2522,ｉシェアーズ　オートメーション　＆　ロボット　ＥＴＦ,8228.0,13,11.0,,"ex:2025-08-09|pay:2025-11:10.0, ex:2026-02-09|pay:2026-05:1.0"
2523,ＭＡＸＩＳトピックス（除く金融）上場投信,2980.0,166,49.4,,"ex:2025-07-16|pay:2025-10:29.9, ex:2026-01-16|pay:2026-04:19.5"
