銘柄コード,企業名,価格,利回り(%),年間配当,セクター,配当内訳
1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,1760,575,103,N/A,"2025-04-11:23.0, 2025-07-11:28.0, 2025-10-10:26.0, 2026-01-09:26.0"
149A,シンカ,1301,0,0,Technology,No Div
1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,29650,168,540,N/A,"2025-07-08:267.0, 2026-01-08:273.0"
1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,9499,319,299,N/A,"2025-04-10:137.0, 2025-07-10:24.0, 2025-10-10:120.0, 2026-01-09:18.0"
150A,ＪＳＨ,340,0,0,Industrials,No Div
1514,住石ホールディングス,859,168,30,Energy,2025-03-28:30.0
1515,日鉄鉱業,2660,222,50.2,Basic Materials,"2025-03-28:26.8, 2025-09-29:23.4"
1518,三井松島ホールディングス,1396,456,39,Energy,"2025-03-28:16.0, 2025-09-29:23.0"
151A,ダイブ,620,0,0,Industrials,No Div
152A,オプティ,1186,0,0,N/A,No Div
153A,カウリス,1117,48,4.8,Technology,2025-12-29:4.8
1540,純金上場信託（現物国内保管型）,21295,0,0,N/A,No Div
1542,純銀上場信託（現物国内保管型）,31260,0,0,N/A,No Div
1543,純パラジウム上場信託（現物国内保管型）,63900,0,0,N/A,No Div
1541,純プラチナ上場信託（現物国内保管型）,8885,0,0,N/A,No Div
1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信,38790,36,142,N/A,2025-08-08:142.0
1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,71970,103,771,N/A,2025-08-08:771.0
154A,ＧＡＩＡ,6610,0,17,N/A,2025-12-29:17.0
1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,11360,94,109,N/A,2026-01-20:109.0
1551,東証スタンダードＴＯＰ２０ＥＴＦ,6809,81,58,N/A,2025-07-08:58.0
1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,7106,107,78.7,N/A,"2025-06-06:44.7, 2025-12-08:34.0"
1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,5915,114,70,N/A,2026-01-20:70.0
1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ－ＲＥＩＴ）,2248,202,51,N/A,"2025-05-09:8.0, 2025-07-10:9.0, 2025-09-10:8.0, 2025-11-10:9.0, 2026-01-09:8.0, 2026-03-10:9.0"
155A,情報戦略テクノロジー,863,0,0,Technology,No Div
1557,Ｓｔａｔｅ　Ｓｔｒｅｅｔ　ＳＰＤＲ　Ｓ＆Ｐ　５００　ＥＴＦ,104350,0,317.497871,N/A,"2025-06-20:1.761117, 2025-09-19:1.831114, 2025-12-19:313.90564"
1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,4286,186,91,N/A,2025-08-08:91.0
1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,6756,239,164,N/A,2025-08-08:164.0
1566,上場インデックスファンド新興国債券,53090,462,2612,N/A,"2025-05-09:405.0, 2025-07-10:419.0, 2025-09-10:422.0, 2025-11-10:422.0, 2026-01-09:474.0, 2026-03-10:470.0"
1563,東証グロース・コアＥＴＦ,2330,0,0,N/A,No Div
1568,ＴＯＰＩＸブル２倍上場投信,801.4,0,0,N/A,No Div
1569,ＴＯＰＩＸベア上場投信,852,0,0,N/A,No Div
156A,マテリアルグループ,851,301,26,Communication Services,2025-08-28:26.0
1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,47400,0,0,N/A,No Div
1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,385,0,0,N/A,No Div
1573,中国Ｈ株ベア上場投信,8617,0,0,N/A,No Div
1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,53470,256,1485,N/A,"2025-04-07:658.0, 2025-07-07:118.0, 2025-10-07:626.0, 2026-01-07:83.0"
1578,上場インデックスファンド日経２２５（ミニ）,4255,117,55,N/A,"2025-07-08:26.0, 2026-01-08:29.0"
1572,中国Ｈ株ブル２倍上場投信,6937,0,0,N/A,No Div
1585,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,2422.5,126,33.2,N/A,"2025-07-10:21.3, 2026-01-09:11.9"
157A,グリーンモンスター,1166,91,10,Technology,2025-06-27:10.0
1579,日経平均ブル２倍上場投信,510.4,0,0,N/A,No Div
1580,日経平均ベア上場投信,1021,0,0,N/A,No Div
158A,エクセリ,2227,0,25,N/A,2025-12-29:25.0
1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,33110,171,912,N/A,"2025-04-04:302.0, 2025-04-07:302.0, 2025-10-07:308.0"
1586,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,2794,198,60,N/A,"2025-07-08:25.0, 2026-01-08:35.0"
1592,上場インデックスファンドＪＰＸ日経インデックス４００,3026,174,57,N/A,"2025-07-08:29.0, 2026-01-08:28.0"
1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,33980,175,641,N/A,"2025-07-16:329.0, 2026-01-16:312.0"
1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,1966,407,83.7,N/A,"2025-04-15:22.8, 2025-07-15:15.7, 2025-10-15:24.8, 2026-01-15:20.4"
1597,ＭＡＸＩＳ　Ｊリート上場投信,1955,412,88.5,N/A,"2025-06-06:13.5, 2025-09-08:28.0, 2025-12-08:14.0, 2026-03-06:33.0"
1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,2700,161,50.3,N/A,"2025-07-15:26.0, 2026-01-15:24.3"
160A,アズパートナーズ,2183,295,55,Industrials,2025-03-28:55.0
159A,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸプライム１５０指数連動型上場投信,655.1,147,10.3,N/A,"2025-04-04:5.0, 2025-10-06:5.3"
1605,ＩＮＰＥＸ,4687,243,100,Energy,"2025-06-27:50.0, 2025-12-29:50.0"
1599,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,33510,168,607,N/A,"2025-07-10:315.0, 2026-01-09:292.0"
1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,44230,201,941,N/A,2025-07-15:941.0
1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,40000,172,653,N/A,2025-07-15:653.0
1615,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,584.3,309,20.02,N/A,2025-07-15:20.02
1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信,46880,188,996,N/A,2025-07-15:996.0
161A,三葉,1125,0,0,N/A,No Div
1622,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信,34990,208,840,N/A,2025-07-15:840.0
1620,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信,34130,208,779,N/A,2025-07-15:779.0
1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,32110,157,535,N/A,2025-07-15:535.0
1623,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信,62420,136,921,N/A,2025-07-15:921.0
1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信,37930,137,541,N/A,2025-07-15:541.0
1625,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信,50320,71,392,N/A,2025-07-15:392.0
1624,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信,85170,291,2821,N/A,2025-07-15:2821.0
1627,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信,12545,104,137,N/A,2025-07-15:137.0
162A,ＡＩセレクトメガトレンド　日本株（ネットリターン）ＥＴＮ,13800,0,0,N/A,No Div
1628,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信,21730,290,653,N/A,2025-07-15:653.0
1629,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信,142250,196,2837,N/A,2025-07-15:2837.0
1630,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信,36410,198,786,N/A,2025-07-15:786.0
1631,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信,31240,244,847,N/A,2025-07-15:847.0
1633,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信,56630,184,1198,N/A,2025-07-15:1198.0
1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,37740,186,727,N/A,2025-07-15:727.0
163A,半導体フォーカス　日本株（ネットリターン）ＥＴＮ,14465,0,0,N/A,No Div
164A,アップルパーク,1980,0,37.48,N/A,2025-03-28:37.48
1651,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指数,2979,207,65,N/A,"2025-05-09:28.0, 2025-08-08:2.0, 2025-11-10:33.0, 2026-02-10:2.0"
1652,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,4332,154,70.5,N/A,"2025-07-10:21.9, 2026-01-09:48.6"
1653,ｉＦｒｅｅＥＴＦ　ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,4511,148,74.9,N/A,"2025-07-10:36.7, 2026-01-09:38.2"
1654,ｉＦｒｅｅＥＴＦ　ＦＴＳＥ　ＪＰＸ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,3005,182,59.1,N/A,"2025-07-10:27.7, 2026-01-09:31.4"
1656,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ,318.6,336,10.7,N/A,"2025-04-11:2.6, 2025-07-11:2.8, 2025-10-10:2.5, 2026-01-09:2.8"
1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,754.3,96,7.4,N/A,"2025-08-08:3.4, 2026-02-09:4.0"
1657,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）ＥＴＦ,6359,115,76,N/A,"2025-08-08:38.0, 2026-02-09:38.0"
1658,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,3727,189,76,N/A,"2025-08-08:27.0, 2026-02-09:49.0"
1659,ｉシェアーズ　米国リート　ＥＴＦ,3470,222,81,N/A,"2025-05-09:10.0, 2025-08-08:17.0, 2025-11-07:20.0, 2026-02-09:34.0"
1660,ＭＡＸＩＳ高利回りＪリート上場投信,11315,411,483,N/A,"2025-04-10:135.0, 2025-07-10:106.0, 2025-10-10:115.0, 2026-01-09:127.0"
1662,石油資源開発,2594,163,50,Energy,"2025-03-28:30.0, 2025-09-29:20.0"
1663,Ｋ＆Ｏエナジーグループ,5230,115,54,Utilities,"2025-06-27:24.0, 2025-12-29:30.0"
166A,タスキホールディングス,808,485,35,Technology,2025-09-29:35.0
1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,10140,0,0,N/A,No Div
1671,ＷＴＩ原油価格連動型上場投信,4920,0,0,N/A,No Div
1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,65660,0,0,N/A,No Div
1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,27495,0,0,N/A,No Div
1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,20395,0,0,N/A,No Div
1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,45500,0,0,N/A,No Div
1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,60320,251,1534,N/A,"2025-04-10:124.0, 2025-05-09:124.0, 2025-06-10:123.0, 2025-07-10:123.0, 2025-08-08:126.0, 2025-09-10:128.0, 2025-10-10:128.0, 2025-11-10:130.0, 2025-12-10:133.0, 2026-01-09:132.0, 2026-02-10:131.0, 2026-03-10:132.0"
1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０　連動型上場投信,309.8,369,12.7,N/A,2025-08-08:12.7
1679,Ｓｉｍｐｌｅ－Ｘ　ＮＹ　ダウ・ジョーンズ・インデックス上場投信,59260,155,960,N/A,2025-12-05:960.0
1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）,7226,109,82,N/A,2026-01-20:82.0
167A,リョーサン菱洋ホールディングス,3190,440,140,Technology,"2025-03-28:70.0, 2025-09-29:70.0"
