ticker,name,sector
2043,ＮＥＸＴ　ＮＯＴＥＳ　ＳＴＯＸＸ　アセアン好配当５０（円、ネットリターン）ＥＴＮ,N/A
2046,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ダブル・ブル　ＥＴＮ,N/A
2044,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ５００　配当貴族（ネットリターン）　ＥＴＮ,N/A
2047,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ベア　ＥＴＮ,N/A
2048,ＮＥＸＴ　ＮＯＴＥＳ　野村日本株高配当７０（ドルヘッジ、ネットリターン）ＥＴＮ,N/A
204A,タイヨーパッケージ,一般消費財
2050,ＮＥＸＴ　ＮＯＴＥＳ　ニッチトップ　中小型日本株（ネットリターン）ＥＴＮ,N/A
2053,中部飼料,生活必需品
2055,日和産業,生活必需品
205A,ロゴスホールディングス,一般消費財
2060,フィード・ワン,生活必需品
2065,ＮＥＸＴ　ＮＯＴＥＳ　日本株配当貴族（ドルヘッジ、ネットリターン）ＥＴＮ,N/A
2067,ＮＥＸＴ　ＮＯＴＥＳ　野村ＡＩビジネス７０（ネットリターン）ＥＴＮ,N/A
2068,ＮＥＸＴ　ＮＯＴＥＳ　高ベータ３０（ネットリターン）ＥＴＮ,N/A
2066,ＮＥＸＴ　ＮＯＴＥＳ　東証ＲＥＩＴ（ドルヘッジ、ネットリターン）ＥＴＮ,N/A
2069,ＮＥＸＴ　ＮＯＴＥＳ　低ベータ５０（ネットリターン）ＥＴＮ,N/A
206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,ヘルスケア
2070,スマートＥＳＧ３０女性活躍（ネットリターン）ＥＴＮ,N/A
2071,スマートＥＳＧ３０総合（ネットリターン）ＥＴＮ,N/A
2072,トップシェアインデックス（ネットリターン）ＥＴＮ,N/A
2073,スマートＥＳＧ３０低カーボンリスク（ネットリターン）ＥＴＮ,N/A
207A,ライジングコーポレーション,N/A
2080,ＰＢＲ１倍割れ解消推進ＥＴＦ,N/A
2081,政策保有解消推進ＥＴＦ,N/A
2082,投資家経営者一心同体ＥＴＦ,N/A
2083,ＮＥＸＴ　ＦＵＮＤＳ　日本成長株アクティブ上場投信,N/A
2084,ＮＥＸＴ　ＦＵＮＤＳ　日本高配当株アクティブ上場投信,N/A
2085,ＭＡＸＩＳ高配当日本株アクティブ上場投信,N/A
2086,ＮＺＡＭ　上場投信　Ｓ＆Ｐ５００（為替ヘッジあり）,N/A
2088,ＮＺＡＭ　上場投信　ＮＹダウ３０（為替ヘッジあり）,N/A
2087,ＮＺＡＭ　上場投信　ＮＡＳＤＡＱ１００（為替ヘッジあり）,N/A
2089,ＮＺＡＭ　上場投信　ＤＡＸ（為替ヘッジあり）,N/A
2090,ＮＺＡＭ　上場投信　米国国債７－１０年（為替ヘッジあり）,N/A
208A,構造計画研究所ホールディングス,資本財
2091,ＮＺＡＭ　上場投信　ドイツ国債７－１０年（為替ヘッジあり）,N/A
2094,東証ＲＥＩＴインバースＥＴＦ,N/A
2092,ＮＺＡＭ　上場投信　フランス国債７－１０年（為替ヘッジあり）,N/A
2093,上場Ｔｒａｃｅｒｓ　米国債０－２年ラダー（為替ヘッジなし）,N/A
2095,グローバルＸ　Ｓ＆Ｐ５００配当貴族　ＥＴＦ（為替ヘッジあり）,N/A
2096,グローバルＸ　オフィス・Ｊ－ＲＥＩＴ　ＥＴＦ,N/A
2097,グローバルＸ　レジデンシャル・Ｊ－ＲＥＩＴ　ＥＴＦ,N/A
2098,グローバルＸ　ホテル＆リテール・Ｊ－ＲＥＩＴ　ＥＴＦ,N/A
209A,小野谷機工,一般消費財
2109,ＤＭ三井製糖,生活必需品
2108,日本甜菜製糖,生活必需品
